config,use_priors,use_temporal,auprc,auroc,epr,forecasting_mse,val_loss
full_model,True,True,0.026732541565873586,0.5598021425953409,1.3677434081100897,7.7263049483299255,9.693863813366209
no_priors,False,True,0.022948877419439018,0.4669073480876477,1.515038852060407,7.701170372111457,9.668474806206566
no_temporal,True,False,0.02430300604436788,0.49370174983566517,1.7254609148465745,9.34237333706447,11.030478319951467
neither,False,False,0.03144490506697606,0.5909301632879582,2.0831784215830598,9.214877022164208,10.936303679432188
